Timestamp,"How often do you receive suspicious emails, texts, or scam links?",Have you (or someone close to you) ever fallen for a phishing or scam attempt?,"When faced with a suspicious link or message, what do you usually do?","On a scale of 1–10, how safe do you feel online when browsing, messaging, or shopping?",Do you believe existing tools like antivirus apps or browser warnings are enough to protect people today?,What concerns you most when using your phone or laptop?,How valuable does that sound to you?,"If this app existed, how likely are you to install it on your phone?",Which of these features would personally convince you to use it?,Would you be willing to pay for this app if it offered strong protection?,What pricing would feel fair for this kind of app?,What would make you trust a cybersecurity app enough to use it daily?,What tools do you currently use to stay safe online (if any)?,What’s the biggest frustration or fear you’ve had regarding your online security?,Want early access or to be part of our beta program?
4/18/2025 15:59:37,Occasionally,"No, never","Try to verify manually (Google it, ask someone)",3,"Somewhat, but there are gaps",Malware or viruses,Somewhat valuable,Definitely,All of the above,"Yes, monthly subscription",$5/month,Proven security practices and reviews,Manual checking only,Data leaked without my knowledge,Maybe
4/18/2025 16:09:37,Occasionally,"Yes, I have",I’m not sure what to do,8,"No, they're outdated or reactive",Data leaks or hacks,Extremely valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Maybe, depends on features",$5/month,Open-source availability,Antivirus + built-in OS security,Data leaked without my knowledge,Yes
4/18/2025 16:19:37,Rarely,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",9,"Somewhat, but there are gaps",Data leaks or hacks,Somewhat valuable,Definitely,All of the above,"Yes, monthly subscription",$5/month,Open-source availability,Antivirus + built-in OS security,Data leaked without my knowledge,Maybe
4/18/2025 16:29:37,Occasionally,"No, never",Use an antivirus or protection app,4,"No, they're outdated or reactive",Phishing or scam messages,Extremely valuable,Probably not,All of the above,"No, I only use free tools",$5/month,Professional branding and real-world results,VPN + password manager,Data leaked without my knowledge,Yes
4/18/2025 16:39:37,Occasionally,"Yes, someone close to me has",Ignore it,9,"No, they're outdated or reactive",Identity theft,Extremely valuable,Definitely,All of the above,"Yes, monthly subscription",$5/month,Proven security practices and reviews,Antivirus + built-in OS security,Falling for a realistic scam,Maybe
4/18/2025 16:49:37,Weekly,"Yes, I have","Try to verify manually (Google it, ask someone)",7,"Somewhat, but there are gaps",Identity theft,Extremely valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Yes, monthly subscription",$5/month,Proven security practices and reviews,Antivirus + built-in OS security,No alerts about risky apps or links,Maybe
4/18/2025 16:59:37,Daily,Not sure,"Try to verify manually (Google it, ask someone)",8,"Somewhat, but there are gaps",Identity theft,Extremely valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Yes, one-time lifetime fee",More than $10,Proven security practices and reviews,Manual checking only,Too many scam messages daily,Yes
4/18/2025 17:09:37,Daily,"Yes, I have",Use an antivirus or protection app,4,"Yes, they're sufficient",Identity theft,Somewhat valuable,Probably,All of the above,"Yes, monthly subscription",$10/month,Professional branding and real-world results,VPN + password manager,No alerts about risky apps or links,Yes
4/18/2025 17:19:37,Occasionally,"Yes, someone close to me has",Use an antivirus or protection app,4,"Somewhat, but there are gaps",Phishing or scam messages,Extremely valuable,Definitely,All of the above,"No, I only use free tools",$10/month,Open-source availability,I don’t use anything,Too many scam messages daily,Yes
4/18/2025 17:29:37,Daily,"No, never",I’m not sure what to do,9,"Somewhat, but there are gaps",Identity theft,Not really valuable,Not sure,Security score + SMS scan,"No, I only use free tools",$5/month,Professional branding and real-world results,Antivirus + built-in OS security,Data leaked without my knowledge,Yes
4/18/2025 17:39:37,Daily,"Yes, I have",Use an antivirus or protection app,4,"No, they're outdated or reactive",Phishing or scam messages,Somewhat valuable,Not sure,Security score + SMS scan,"Yes, monthly subscription",$10/month,Transparency + privacy-first design,Antivirus + built-in OS security,No alerts about risky apps or links,Yes
4/18/2025 17:49:37,Daily,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",4,I don’t use any protection tools,Identity theft,Extremely valuable,Not sure,All of the above,"Yes, monthly subscription",More than $10,Transparency + privacy-first design,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 17:59:37,Weekly,"No, never",I’m not sure what to do,3,"No, they're outdated or reactive",Financial fraud,Extremely valuable,Probably,All of the above,"Yes, one-time lifetime fee",$10/month,Transparency + privacy-first design,Manual checking only,No alerts about risky apps or links,No
4/18/2025 18:09:37,Occasionally,"Yes, someone close to me has",Use an antivirus or protection app,3,"No, they're outdated or reactive",Phishing or scam messages,Extremely valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Maybe, depends on features",$5/month,Open-source availability,Antivirus + built-in OS security,Falling for a realistic scam,No
4/18/2025 18:19:37,Occasionally,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",6,"Yes, they're sufficient",Financial fraud,Valuable,Probably,All of the above,"Yes, monthly subscription",$5/month,Proven security practices and reviews,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 18:29:37,Never,"No, never","Try to verify manually (Google it, ask someone)",4,"No, they're outdated or reactive",Financial fraud,Not really valuable,Probably not,All of the above,"Yes, monthly subscription",More than $10,Transparency + privacy-first design,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 18:39:37,Occasionally,"Yes, I have",I’m not sure what to do,3,"Somewhat, but there are gaps",Malware or viruses,Somewhat valuable,Definitely,Security score + SMS scan,"Yes, one-time lifetime fee",$5/month,Proven security practices and reviews,Manual checking only,Data leaked without my knowledge,Yes
4/18/2025 18:49:37,Weekly,"Yes, someone close to me has",Ignore it,4,"Yes, they're sufficient",Phishing or scam messages,Somewhat valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Maybe, depends on features",$5/month,Transparency + privacy-first design,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 18:59:37,Daily,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",6,"Somewhat, but there are gaps",Identity theft,Somewhat valuable,Not sure,"Real-time phishing detection, Dark web monitoring","Maybe, depends on features",$10/month,Transparency + privacy-first design,Manual checking only,No alerts about risky apps or links,Yes
4/18/2025 19:09:37,Weekly,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",7,"Somewhat, but there are gaps",Data leaks or hacks,Somewhat valuable,Probably not,All of the above,"Yes, monthly subscription",$5/month,Professional branding and real-world results,Antivirus + built-in OS security,Falling for a realistic scam,Maybe
4/18/2025 19:19:37,Weekly,Not sure,Use an antivirus or protection app,3,"Yes, they're sufficient",Data leaks or hacks,Extremely valuable,Not sure,All of the above,"Yes, monthly subscription",$5/month,Professional branding and real-world results,VPN + password manager,Falling for a realistic scam,Yes
4/18/2025 19:29:37,Weekly,"No, never",Ignore it,6,"No, they're outdated or reactive",Financial fraud,Extremely valuable,Definitely,All of the above,"Yes, one-time lifetime fee",$10/month,Transparency + privacy-first design,Manual checking only,Falling for a realistic scam,Yes
4/18/2025 19:39:37,Weekly,"Yes, I have","Try to verify manually (Google it, ask someone)",6,"Somewhat, but there are gaps",Malware or viruses,Extremely valuable,Definitely,All of the above,"Yes, one-time lifetime fee",$5/month,Professional branding and real-world results,Antivirus + built-in OS security,Data leaked without my knowledge,Yes
4/18/2025 19:49:37,Daily,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",8,"Somewhat, but there are gaps",Phishing or scam messages,Valuable,Not sure,All of the above,"Yes, monthly subscription",More than $10,Professional branding and real-world results,VPN + password manager,Too many scam messages daily,Yes
4/18/2025 19:59:37,Occasionally,"Yes, I have",Use an antivirus or protection app,4,"No, they're outdated or reactive",Financial fraud,Extremely valuable,Probably,All of the above,"Yes, one-time lifetime fee",$5/month,Transparency + privacy-first design,VPN + password manager,No alerts about risky apps or links,Yes
4/18/2025 20:09:37,Weekly,"Yes, someone close to me has",Ignore it,7,"Somewhat, but there are gaps",Phishing or scam messages,Extremely valuable,Definitely,All of the above,"Yes, monthly subscription",$2/month,Transparency + privacy-first design,Antivirus + built-in OS security,Too many scam messages daily,Maybe
4/18/2025 20:19:37,Rarely,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",8,"Somewhat, but there are gaps",Malware or viruses,Extremely valuable,Definitely,All of the above,"Yes, monthly subscription",$5/month,Professional branding and real-world results,Manual checking only,Too many scam messages daily,Yes
4/18/2025 20:29:37,Never,"Yes, someone close to me has",Use an antivirus or protection app,5,I don’t use any protection tools,Data leaks or hacks,Extremely valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Yes, monthly subscription",$5/month,Transparency + privacy-first design,VPN + password manager,No alerts about risky apps or links,Yes
4/18/2025 20:39:37,Weekly,"No, never",Use an antivirus or protection app,9,"No, they're outdated or reactive",Phishing or scam messages,Extremely valuable,Definitely,All of the above,"Maybe, depends on features",$5/month,Transparency + privacy-first design,VPN + password manager,No alerts about risky apps or links,Yes
4/18/2025 20:49:37,Weekly,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",9,"Yes, they're sufficient",Phishing or scam messages,Valuable,Definitely,All of the above,"Maybe, depends on features",I wouldn’t pay,Proven security practices and reviews,Manual checking only,Falling for a realistic scam,Maybe
4/18/2025 20:59:37,Daily,"Yes, someone close to me has",Ignore it,4,"Somewhat, but there are gaps",Identity theft,Valuable,Definitely,All of the above,"Yes, monthly subscription",$5/month,Transparency + privacy-first design,VPN + password manager,Falling for a realistic scam,Yes
4/18/2025 21:09:37,Never,Not sure,Ignore it,5,"Somewhat, but there are gaps",Phishing or scam messages,Somewhat valuable,Probably,All of the above,"Yes, one-time lifetime fee",$5/month,Professional branding and real-world results,VPN + password manager,Falling for a realistic scam,Yes
4/18/2025 21:19:37,Weekly,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",5,"Somewhat, but there are gaps",Phishing or scam messages,Valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Yes, one-time lifetime fee",$10/month,Transparency + privacy-first design,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 21:29:37,Occasionally,"Yes, someone close to me has",Use an antivirus or protection app,4,"Somewhat, but there are gaps",Data leaks or hacks,Somewhat valuable,Not sure,All of the above,"Yes, monthly subscription",$2/month,Transparency + privacy-first design,VPN + password manager,No alerts about risky apps or links,Yes
4/18/2025 21:39:37,Daily,"Yes, I have","Try to verify manually (Google it, ask someone)",8,"No, they're outdated or reactive",Data leaks or hacks,Extremely valuable,Definitely,All of the above,"Maybe, depends on features",$5/month,Transparency + privacy-first design,I don’t use anything,No alerts about risky apps or links,Yes
4/18/2025 21:49:37,Daily,"Yes, I have","Try to verify manually (Google it, ask someone)",8,"Somewhat, but there are gaps",Identity theft,Extremely valuable,Probably,All of the above,"Yes, monthly subscription",$5/month,Transparency + privacy-first design,Manual checking only,No alerts about risky apps or links,Yes
4/18/2025 21:59:37,Weekly,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",6,"No, they're outdated or reactive",Data leaks or hacks,Extremely valuable,Probably,All of the above,"Yes, one-time lifetime fee",$10/month,Transparency + privacy-first design,Antivirus + built-in OS security,Data leaked without my knowledge,Yes
4/18/2025 22:09:37,Daily,"Yes, someone close to me has",Use an antivirus or protection app,8,"Somewhat, but there are gaps",Financial fraud,Extremely valuable,Definitely,Security score + SMS scan,"Maybe, depends on features",$10/month,Professional branding and real-world results,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 22:19:37,Daily,"No, never","Try to verify manually (Google it, ask someone)",8,"Yes, they're sufficient",Data leaks or hacks,Extremely valuable,Not sure,All of the above,"Yes, monthly subscription",$10/month,Professional branding and real-world results,VPN + password manager,Falling for a realistic scam,Maybe
4/18/2025 22:29:37,Daily,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",6,"Somewhat, but there are gaps",Data leaks or hacks,Somewhat valuable,Probably not,Security score + SMS scan,"Maybe, depends on features",$5/month,Open-source availability,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 22:39:37,Occasionally,"Yes, I have",Ignore it,6,"No, they're outdated or reactive",Identity theft,Valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Yes, one-time lifetime fee",$5/month,Professional branding and real-world results,Antivirus + built-in OS security,No alerts about risky apps or links,Maybe
4/18/2025 22:49:37,Occasionally,"No, never","Try to verify manually (Google it, ask someone)",8,I don’t use any protection tools,Phishing or scam messages,Extremely valuable,Probably,All of the above,"Yes, monthly subscription",$2/month,Proven security practices and reviews,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 22:59:37,Daily,"No, never","Try to verify manually (Google it, ask someone)",6,"Somewhat, but there are gaps",Phishing or scam messages,Valuable,Definitely,"Real-time phishing detection, Dark web monitoring","Yes, one-time lifetime fee",$5/month,Transparency + privacy-first design,Antivirus + built-in OS security,Falling for a realistic scam,Yes
4/18/2025 23:09:37,Weekly,"Yes, someone close to me has",I’m not sure what to do,6,"Yes, they're sufficient",Financial fraud,Extremely valuable,Probably,All of the above,"Yes, one-time lifetime fee",$5/month,Proven security practices and reviews,Manual checking only,Falling for a realistic scam,No
4/18/2025 23:19:37,Daily,"Yes, someone close to me has",Use an antivirus or protection app,5,I don’t use any protection tools,Identity theft,Somewhat valuable,Not sure,All of the above,"Maybe, depends on features",$10/month,Transparency + privacy-first design,Antivirus + built-in OS security,Data leaked without my knowledge,Yes
4/18/2025 23:29:37,Daily,Not sure,Ignore it,8,"Somewhat, but there are gaps",Phishing or scam messages,Somewhat valuable,Definitely,All of the above,"Maybe, depends on features",More than $10,Transparency + privacy-first design,VPN + password manager,Too many scam messages daily,Yes
4/18/2025 23:39:37,Weekly,"Yes, someone close to me has",Use an antivirus or protection app,7,"No, they're outdated or reactive",Identity theft,Extremely valuable,Probably,All of the above,"Yes, monthly subscription",$5/month,Proven security practices and reviews,Manual checking only,Falling for a realistic scam,Yes
4/18/2025 23:49:37,Weekly,"Yes, I have",I’m not sure what to do,8,"Yes, they're sufficient",Identity theft,Extremely valuable,Definitely,All of the above,"Maybe, depends on features",$5/month,Proven security practices and reviews,VPN + password manager,Too many scam messages daily,Yes
4/18/2025 23:59:37,Daily,"Yes, someone close to me has","Try to verify manually (Google it, ask someone)",4,"Yes, they're sufficient",Identity theft,Somewhat valuable,Definitely,All of the above,"Yes, one-time lifetime fee",More than $10,Open-source availability,VPN + password manager,Data leaked without my knowledge,Yes
4/19/2025 00:09:37,Rarely,"Yes, I have",Use an antivirus or protection app,6,"Somewhat, but there are gaps",Phishing or scam messages,Extremely valuable,Probably not,All of the above,"Maybe, depends on features",$5/month,Transparency + privacy-first design,Antivirus + built-in OS security,Data leaked without my knowledge,Yes
4/19/2025 00:19:37,Daily,"Yes, I have","Try to verify manually (Google it, ask someone)",4,"Somewhat, but there are gaps",Identity theft,Extremely valuable,Not sure,All of the above,"Yes, monthly subscription",$5/month,Transparency + privacy-first design,Antivirus + built-in OS security,No alerts about risky apps or links,Yes
